Streamer,Hours_Streamed,Average_Viewers,Peek_Vierwers,Days_Active,Total_Games_Streamed,Daily_Broadcast_Time,Hours_Watched_Daily,Follower_Gained/stream,Views/stream,Followers_Gained/Hour,Followers_to_Date,Total_Views,Active_Days_per_Week,Average_Games/stream,Views/hour
sacriel,5639,3677,46834,709,88,8,29246,369,46809,45.9,527372,56854358,5.7,1.4,45.9
skillshot,7528,2120,88784,698,11,11,22864,120,21822,17.3,473062,161276033,5.6,1.2,17.3
pimpimentalol,4205,2187,14128,572,53,7,16078,715,26330,119.4,503592,18510265,4.6,1.3,119.4
axtlol,2542,6874,50764,394,16,6,44342,1347,84382,163.2,512072,33025743,3.2,1.4,163.2
domingo,2025,5999,96582,487,132,4,24946,488,54713,118.7,507161,46913648,3.9,1.9,118.7
manvsgame,2910,2840,9083,309,55,9,26745,164,26256,16.7,506953,64109539,2.5,1.1,16.7
gtimetv,5289,886,21144,692,133,8,6772,178,11021,27.3,505279,15808727,5.6,1.5,27.3
hiko,403,3476,12883,119,4,3,11785,692,28176,204.2,503466,16791664,1,1.2,204.2
poach,1746,2700,25595,275,11,6,17140,1848,29490,285.9,499293,7966424,3.5,1.1,285.9
starladder_cs_en,2130,11080,280246,250,1,9,94399,817,111638,132.7,498640,66012724,2.2,1,132.7
hiko,403,3476,12883,119,4,3,11785,692,28176,204.2,503466,16791664,1,1.2,204.2
swifty,4879,855,26273,615,62,8,6783,196,15023,21.9,495553,43825903,5,1.5,21.9
patopapao,1928,3880,17072,408,75,5,18333,1107,45352,197,495247,17085117,3.8,1.5,197
gennabain,849,5467,44001,218,80,4,21280,49,37481,13,492719,59167918,1.8,1.2,13
angryjoeshow,3294,808,10909,690,310,5,3857,173,7275,38,491867,14048661,5.6,1.3,38
jghosty,750,760,47551,271,32,3,2103,1668,7123,627.3,484138,2178827,2.2,1.2,627.3
